species,pu,amount
19,144,0.51
19,145,0.8
19,146,0.1
19,186,0.49
19,187,1
19,188,1
19,189,0.85
19,190,0.1
19,230,0.14
19,231,0.97
19,232,1
19,233,1
19,234,1
19,235,0.82
19,236,0.06
19,277,0.68
19,278,1
19,279,1
19,280,1
19,281,1
19,282,1
19,283,0.79
19,284,0.05
25,323,0.03
27,323,0.22
9,324,0.06
25,324,0.52
27,324,0.05
9,325,0.15
19,325,0.26
25,325,0.2
27,325,0.04
9,326,0.1
19,326,1
27,326,0.44
9,327,0.14
19,327,1
27,327,0.52
9,328,0.19
19,328,1
27,328,0.03
19,329,1
19,330,1
19,331,1
19,332,1
19,333,0.7
25,373,0.03
27,373,0.33
9,374,0.21
25,374,0.78
27,374,0.21
9,375,0.97
25,375,0.73
27,375,0.27
9,376,1
19,376,0.8
25,376,0.97
27,376,0.03
9,377,1
19,377,1
25,377,0.38
27,377,0.62
9,378,1
19,378,1
27,378,1
9,379,0.93
19,379,1
27,379,0.54
9,380,0.04
19,380,1
19,381,1
19,382,1
19,383,1
19,384,1
19,385,0.09
27,386,0.03
9,387,0.05
27,387,0.4
9,388,0.15
27,388,0.77
9,389,0.06
27,389,0.05
9,400,0.01
9,401,0.05
27,424,0.03
27,425,0.53
9,426,0.39
25,426,0.37
27,426,0.62
9,427,0.97
25,427,0.9
27,427,0.1
9,428,1
25,428,0.07
27,428,0.93
8,429,0.12
9,429,0.88
19,429,0.95
25,429,0.67
27,429,0.33
8,430,0.46
9,430,0.54
19,430,1
25,430,0.91
27,430,0.09
9,431,1
19,431,1
25,431,0.26
27,431,0.74
9,432,1
19,432,1
27,432,0.91
9,433,0.74
19,433,1
27,433,0.09
19,434,1
19,435,1
19,436,1
19,437,1
27,437,0.17
19,438,0.05
27,438,0.59
9,439,0.02
27,439,0.95
9,440,0.78
27,440,1
9,441,1
27,441,1
9,442,0.34
27,442,0.18
25,452,0.06
9,453,0.01
25,453,0.6
9,454,0.7
25,454,0.58
9,455,0.83
27,465,0.03
9,466,0.01
27,466,0.45
9,467,0.22
27,467,0.6
9,468,0.33
27,468,0.6
9,469,0.16
27,469,0.6
9,470,0.22
27,470,0.66
9,471,0.33
25,471,0.37
27,471,0.37
9,472,0.43
25,472,0.63
27,472,0.13
9,473,0.34
27,473,0.35
9,474,0.3
27,474,0.31
9,475,0.15
27,475,0.45
27,476,0.41
27,477,0.55
9,478,0.08
27,478,0.88
9,479,0.7
27,479,1
9,480,1
25,480,0.72
27,480,0.28
9,481,1
25,481,0.31
27,481,0.69
9,482,1
27,482,1
8,483,0.31
9,483,0.69
19,483,0.72
25,483,0.06
27,483,0.94
8,484,1
19,484,1
25,484,0.23
27,484,0.77
8,485,0.22
9,485,0.78
19,485,1
25,485,0.79
27,485,0.21
9,486,1
19,486,1
25,486,0.17
27,486,0.83
9,487,1
19,487,1
25,487,0.05
27,487,0.91
9,488,0.33
19,488,1
27,488,0.72
9,489,0.06
19,489,1
27,489,0.79
9,490,0.13
19,490,1
27,490,0.91
9,491,0.33
19,491,0.91
27,491,1
9,492,0.64
27,492,1
9,493,0.91
27,493,1
9,494,1
27,494,1
9,495,1
27,495,1
9,496,0.46
27,496,0.32
9,503,0.29
9,504,0.8
9,508,0.04
25,508,0.54
27,508,0.17
8,509,0.29
9,509,0.55
25,509,0.97
27,509,0.03
8,510,0.17
9,510,0.83
25,510,0.99
9,511,0.89
25,511,0.06
27,521,0.54
9,522,0.8
25,522,0.05
27,522,0.95
9,523,1
27,523,1
9,524,1
25,524,0.12
27,524,0.88
9,525,1
25,525,0.26
27,525,0.74
9,526,1
25,526,0.35
27,526,0.65
9,527,1
25,527,0.29
27,527,0.71
9,528,1
25,528,0.21
27,528,0.79
9,529,1
25,529,0.43
27,529,0.57
9,530,1
27,530,1
9,531,1
27,531,1
9,532,0.85
27,532,1
9,533,0.64
27,533,1
9,534,0.94
25,534,0.19
27,534,0.81
9,535,1
25,535,0.48
27,535,0.52
9,536,1
25,536,0.4
27,536,0.6
9,537,1
27,537,1
9,538,1
27,538,1
8,539,0.38
9,539,0.62
19,539,0.13
27,539,1
8,540,1
19,540,0.95
25,540,0.18
27,540,0.82
8,541,0.9
9,541,0.1
19,541,1
25,541,0.99
27,541,0.01
8,542,0.43
9,542,0.57
19,542,1
25,542,1
8,543,0.09
9,543,0.91
19,543,1
25,543,1
9,544,1
19,544,1
25,544,1
9,545,1
19,545,1
25,545,0.67
27,545,0.33
9,546,1
19,546,1
25,546,0.52
27,546,0.48
9,547,1
19,547,0.76
25,547,0.14
27,547,0.86
9,548,1
27,548,1
9,549,1
27,549,1
9,550,1
27,550,1
9,551,1
27,551,1
9,552,0.57
27,552,0.44
7,558,0.07
7,559,0.19
7,560,0.31
7,561,0.42
9,561,0.18
7,562,0.54
9,562,0.42
7,563,0.65
25,563,0.06
7,564,0.76
25,564,0.19
7,565,0.76
25,565,0.35
27,565,0.01
7,566,0.7
9,566,0.11
25,566,0.3
27,566,0.7
7,567,0.52
8,567,0.26
9,567,0.43
25,567,0.22
27,567,0.78
7,568,0.17
8,568,0.31
9,568,0.69
25,568,0.75
27,568,0.25
9,569,1
25,569,0.04
27,569,0.06
9,570,0.07
25,575,0.06
25,576,0.18
25,579,0.02
27,579,0.71
9,580,0.98
25,580,0.96
27,580,0.04
9,581,1
25,581,0.99
27,581,0.01
9,582,1
25,582,0.74
27,582,0.26
9,583,1
25,583,0.51
27,583,0.49
8,584,0.23
9,584,0.77
25,584,0.81
27,584,0.19
8,585,0.08
9,585,0.92
25,585,0.49
27,585,0.51
8,586,0.55
9,586,0.45
25,586,0.02
27,586,0.98
9,587,1
27,587,1
9,588,1
27,588,1
9,589,1
27,589,1
9,590,1
25,590,0.21
27,590,0.79
9,591,1
25,591,0.42
27,591,0.58
9,592,1
25,592,0.89
27,592,0.11
9,593,1
