id,prop,spf,name
1,0.3,1000,SEAGRASS
2,0.3,1000,SEAGRASS1
3,0.3,1000,SEAGRASS2
4,0.3,1000,FISH1
5,0.3,1000,FISH2
6,0.3,1000,FISH3
7,0.3,1000,INVERT
8,0.3,1000,SHALLOW
9,0.3,1000,MEDIUM
10,0.3,1000,DEEP
11,0.3,1000,ABAS
12,0.3,1000,APUF
13,0.3,1000,BEACH
14,0.3,1000,PUD
15,0.3,1000,PARDUNES
16,0.3,1000,RSF
17,0.3,1000,CORAL1
18,0.3,1000,CORAL2
19,0.3,1000,CORAL3
20,0.3,1000,INTERLEDGE
21,0.3,1000,ISLNDISLET
22,0.3,1000,SEAGR_REEF
23,0.3,1000,MOLLUSCS1
24,0.3,1000,MOLLUSCS2
25,0.3,1000,REEF
26,0.3,1000,REEFAWASH
27,0.3,1000,SAND
28,0.3,1000,ECHINODERM
