"Run Number","Score","Cost","Planning Units",available PuCount,partial PuCount,reserved PuCount,available Cost,partial Cost,reserved Cost,"Connection Strength","Penalty","Shortfall","Missing_Values","MPM"
1,74550.422737,2192.650000,4237,3446,251,540,0,389,1764,72357.772737,0.000000,145.347000,10,0.009198
2,74471.906080,2127.320000,4237,3513,155,569,0,405,1678,72344.586080,0.000000,197.912000,12,0.009930
3,74581.287992,2220.240000,4237,3476,257,504,0,413,1770,72361.047992,0.000000,206.560000,11,-0.000000
4,74654.619063,2293.020000,4237,3473,238,526,0,445,1803,72361.599063,0.000000,183.929000,12,0.009198
5,74425.156053,2071.360000,4237,3446,145,646,0,338,1691,72353.796053,0.000000,137.468000,11,0.000000
6,74633.518036,2274.390000,4237,3381,249,607,0,445,1790,72359.128035,0.000000,128.239000,9,0.000000
7,74573.918402,2212.480000,4237,3477,204,556,0,663,1503,72361.438401,0.000000,197.019000,11,-0.000000
8,74398.096189,2052.540000,4237,3467,97,673,0,573,1439,72345.556189,0.000000,146.856000,9,0.024041
9,74678.019550,2317.490000,4237,3404,351,482,0,264,2012,72360.529550,0.000000,146.194000,10,0.009930
10,74484.915354,2132.750000,4237,3419,181,637,0,464,1623,72352.165354,0.000000,153.542000,11,0.009930
