"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.002000,0,40,yes,0.000000,70.780000,0.000000,0.000000,104.000000,,0.000000,6.290000,5.032000,0.000000,9.000000,,0.000000,25.970000,25.970000,0.000000,31.000000,,1.000000
27,SAND,142.317000,474.390000,152.274000,0,337,yes,0.000000,303.570000,0.000000,0.000000,565.000000,,0.000000,92.730000,74.184000,0.000000,166.000000,,0.000000,78.090000,78.090000,0.000000,171.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,43.700000,0,169,no,0.000000,169.220000,0.000000,0.000000,508.000000,,0.000000,6.400000,5.120000,0.000000,34.000000,,0.000000,38.580000,38.580000,0.000000,135.000000,,0.680050
25,REEF,328.281000,1094.270000,328.702000,0,546,yes,0.000000,749.870000,0.000000,0.000000,1229.000000,,0.000000,78.490000,62.792000,0.000000,148.000000,,0.000000,265.910000,265.910000,0.000000,398.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.430000,0,75,yes,0.000000,107.800000,0.000000,0.000000,138.000000,,0.000000,30.150000,24.120000,0.000000,42.000000,,0.000000,25.310000,25.310000,0.000000,33.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.812000,0,24,yes,0.000000,29.040000,0.000000,0.000000,51.000000,,0.000000,6.490000,5.192000,0.000000,10.000000,,0.000000,8.620000,8.620000,0.000000,14.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,57.156000,0,127,no,0.000000,180.070000,0.000000,0.000000,312.000000,,0.000000,17.270000,13.816000,0.000000,37.000000,,0.000000,43.340000,43.340000,0.000000,90.000000,,0.791590
21,ISLNDISLET,0.792000,2.640000,1.012000,0,13,yes,0.000000,1.580000,0.000000,0.000000,35.000000,,0.000000,0.240000,0.192000,0.000000,6.000000,,0.000000,0.820000,0.820000,0.000000,7.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,23.624000,0,107,no,0.000000,69.290000,0.000000,0.000000,312.000000,,0.000000,5.580000,4.464000,0.000000,28.000000,,0.000000,19.160000,19.160000,0.000000,79.000000,,0.837463
19,CORAL3,93.045000,310.150000,74.904000,0,128,no,0.000000,227.860000,0.000000,0.000000,321.000000,,0.000000,36.930000,29.544000,0.000000,58.000000,,0.000000,45.360000,45.360000,0.000000,70.000000,,0.805030
18,CORAL2,26.310000,87.700000,19.030000,0,41,no,0.000000,66.640000,0.000000,0.000000,106.000000,,0.000000,10.150000,8.120000,0.000000,20.000000,,0.000000,10.910000,10.910000,0.000000,21.000000,,0.723299
17,CORAL1,74.082000,246.940000,74.208000,0,102,yes,0.000000,171.400000,0.000000,0.000000,279.000000,,0.000000,6.660000,5.328000,0.000000,10.000000,,0.000000,68.880000,68.880000,0.000000,92.000000,,1.000000
16,RSF,0.144000,0.480000,0.144000,0,1,yes,0.000000,0.300000,0.000000,0.000000,8.000000,,0.000000,0.180000,0.144000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.550000,0,4,yes,0.000000,0.720000,0.000000,0.000000,14.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.550000,0.550000,0.000000,4.000000,,1.000000
14,PUD,4.746000,15.820000,5.584000,0,45,yes,0.000000,9.690000,0.000000,0.000000,115.000000,,0.000000,2.730000,2.184000,0.000000,19.000000,,0.000000,3.400000,3.400000,0.000000,26.000000,,1.000000
13,BEACH,4.476000,14.920000,4.484000,0,38,yes,0.000000,10.120000,0.000000,0.000000,113.000000,,0.000000,1.580000,1.264000,0.000000,9.000000,,0.000000,3.220000,3.220000,0.000000,29.000000,,1.000000
12,APUF,0.294000,0.980000,0.398000,0,9,yes,0.000000,0.520000,0.000000,0.000000,13.000000,,0.000000,0.310000,0.248000,0.000000,5.000000,,0.000000,0.150000,0.150000,0.000000,4.000000,,1.000000
