"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.106000,0,38,yes,0.000000,70.320000,0.000000,0.000000,106.000000,,0.000000,8.070000,6.456000,0.000000,9.000000,,0.000000,24.650000,24.650000,0.000000,29.000000,,1.000000
27,SAND,142.317000,474.390000,174.392000,0,336,yes,0.000000,295.090000,0.000000,0.000000,566.000000,,0.000000,24.540000,19.632000,0.000000,65.000000,,0.000000,154.760000,154.760000,0.000000,271.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,46.720000,0,177,no,0.000000,165.370000,0.000000,0.000000,500.000000,,0.000000,10.550000,8.440000,0.000000,34.000000,,0.000000,38.280000,38.280000,0.000000,143.000000,,0.727046
25,REEF,328.281000,1094.270000,328.364000,0,549,yes,0.000000,749.590000,0.000000,0.000000,1226.000000,,0.000000,81.580000,65.264000,0.000000,126.000000,,0.000000,263.100000,263.100000,0.000000,423.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.618000,0,71,yes,0.000000,112.050000,0.000000,0.000000,142.000000,,0.000000,7.960000,6.368000,0.000000,10.000000,,0.000000,43.250000,43.250000,0.000000,61.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.612000,0,20,yes,0.000000,29.390000,0.000000,0.000000,55.000000,,0.000000,5.740000,4.592000,0.000000,7.000000,,0.000000,9.020000,9.020000,0.000000,13.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,55.838000,0,121,no,0.000000,183.340000,0.000000,0.000000,318.000000,,0.000000,7.510000,6.008000,0.000000,19.000000,,0.000000,49.830000,49.830000,0.000000,102.000000,,0.773337
21,ISLNDISLET,0.792000,2.640000,1.352000,0,16,yes,0.000000,1.250000,0.000000,0.000000,32.000000,,0.000000,0.190000,0.152000,0.000000,3.000000,,0.000000,1.200000,1.200000,0.000000,13.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,21.570000,0,104,no,0.000000,71.130000,0.000000,0.000000,315.000000,,0.000000,6.650000,5.320000,0.000000,26.000000,,0.000000,16.250000,16.250000,0.000000,78.000000,,0.764650
19,CORAL3,93.045000,310.150000,82.144000,0,123,no,0.000000,223.800000,0.000000,0.000000,326.000000,,0.000000,21.030000,16.824000,0.000000,29.000000,,0.000000,65.320000,65.320000,0.000000,94.000000,,0.882842
18,CORAL2,26.310000,87.700000,10.906000,0,25,no,0.000000,75.160000,0.000000,0.000000,122.000000,,0.000000,8.170000,6.536000,0.000000,18.000000,,0.000000,4.370000,4.370000,0.000000,7.000000,,0.414519
17,CORAL1,74.082000,246.940000,74.410000,0,106,yes,0.000000,168.990000,0.000000,0.000000,275.000000,,0.000000,17.700000,14.160000,0.000000,25.000000,,0.000000,60.250000,60.250000,0.000000,81.000000,,1.000000
16,RSF,0.144000,0.480000,0.146000,0,3,yes,0.000000,0.320000,0.000000,0.000000,6.000000,,0.000000,0.070000,0.056000,0.000000,2.000000,,0.000000,0.090000,0.090000,0.000000,1.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.504000,0,5,yes,0.000000,0.700000,0.000000,0.000000,13.000000,,0.000000,0.330000,0.264000,0.000000,2.000000,,0.000000,0.240000,0.240000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,5.016000,0,44,yes,0.000000,10.440000,0.000000,0.000000,116.000000,,0.000000,1.820000,1.456000,0.000000,12.000000,,0.000000,3.560000,3.560000,0.000000,32.000000,,1.000000
13,BEACH,4.476000,14.920000,4.480000,0,40,yes,0.000000,10.100000,0.000000,0.000000,111.000000,,0.000000,1.700000,1.360000,0.000000,12.000000,,0.000000,3.120000,3.120000,0.000000,28.000000,,1.000000
12,APUF,0.294000,0.980000,0.460000,0,9,yes,0.000000,0.520000,0.000000,0.000000,13.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.460000,0.460000,0.000000,9.000000,,1.000000
11,ABAS,0.156000,0.520000,0.250000,0,2,yes,0.000000,0.270000,0.000000,0.000000,7.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.250000,0.250000,0.000000,2.000000,,1.000000
10,DEEP,11.931000,39.770000,11.962000,0,17,yes,0.000000,27.770000,0.000000,0.000000,47.000000,,0.000000,0.190000,0.152000,0.000000,1.000000,,0.000000,11.810000,11.810000,0.000000,16.000000,,1.000000
