"Feature","Feature Name","Target","Total Amount","Contributing Amount Held","Occurrence Target ","Occurrences Held","Target Met","Target available","Amount Held available","Contributing Amount Held available","Occurrence Target available","Occurrences Held available","Target Met available","Target partial","Amount Held partial","Contributing Amount Held partial","Occurrence Target partial","Occurrences Held partial","Target Met partial","Target reserved","Amount Held reserved","Contributing Amount Held reserved","Occurrence Target reserved","Occurrences Held reserved","Target Met reserved",MPM
28,ECHINODERM,30.912000,103.040000,31.662000,0,41,yes,0.000000,70.890000,0.000000,0.000000,103.000000,,0.000000,2.440000,1.952000,0.000000,3.000000,,0.000000,29.710000,29.710000,0.000000,38.000000,,1.000000
27,SAND,142.317000,474.390000,184.484000,0,333,yes,0.000000,289.030000,0.000000,0.000000,569.000000,,0.000000,4.380000,3.504000,0.000000,11.000000,,0.000000,180.980000,180.980000,0.000000,322.000000,,1.000000
26,REEFAWASH,64.260000,214.200000,51.418000,0,192,no,0.000000,161.770000,0.000000,0.000000,485.000000,,0.000000,5.060000,4.048000,0.000000,15.000000,,0.000000,47.370000,47.370000,0.000000,177.000000,,0.800156
25,REEF,328.281000,1094.270000,328.542000,0,532,yes,0.000000,760.700000,0.000000,0.000000,1243.000000,,0.000000,25.140000,20.112000,0.000000,34.000000,,0.000000,308.430000,308.430000,0.000000,498.000000,,1.000000
24,MOLLUSCS2,48.978000,163.260000,49.418000,0,71,yes,0.000000,113.370000,0.000000,0.000000,142.000000,,0.000000,2.360000,1.888000,0.000000,6.000000,,0.000000,47.530000,47.530000,0.000000,65.000000,,1.000000
23,MOLLUSCS1,13.245000,44.150000,13.460000,0,22,yes,0.000000,30.690000,0.000000,0.000000,53.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,13.460000,13.460000,0.000000,22.000000,,1.000000
22,SEAGR_REEF,72.204000,240.680000,76.734000,0,156,yes,0.000000,163.770000,0.000000,0.000000,283.000000,,0.000000,0.880000,0.704000,0.000000,3.000000,,0.000000,76.030000,76.030000,0.000000,153.000000,,1.000000
21,ISLNDISLET,0.792000,2.640000,1.330000,0,18,yes,0.000000,1.310000,0.000000,0.000000,30.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,1.330000,1.330000,0.000000,18.000000,,1.000000
20,INTERLEDGE,28.209000,94.030000,22.764000,0,104,no,0.000000,70.960000,0.000000,0.000000,315.000000,,0.000000,1.530000,1.224000,0.000000,6.000000,,0.000000,21.540000,21.540000,0.000000,98.000000,,0.806976
19,CORAL3,93.045000,310.150000,84.020000,0,129,no,0.000000,225.930000,0.000000,0.000000,320.000000,,0.000000,1.000000,0.800000,0.000000,1.000000,,0.000000,83.220000,83.220000,0.000000,128.000000,,0.903004
18,CORAL2,26.310000,87.700000,16.138000,0,35,no,0.000000,71.080000,0.000000,0.000000,112.000000,,0.000000,2.410000,1.928000,0.000000,5.000000,,0.000000,14.210000,14.210000,0.000000,30.000000,,0.613379
17,CORAL1,74.082000,246.940000,74.168000,0,110,yes,0.000000,171.380000,0.000000,0.000000,271.000000,,0.000000,6.960000,5.568000,0.000000,10.000000,,0.000000,68.600000,68.600000,0.000000,100.000000,,1.000000
16,RSF,0.144000,0.480000,0.170000,0,3,yes,0.000000,0.310000,0.000000,0.000000,6.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.170000,0.170000,0.000000,3.000000,,1.000000
15,PARDUNES,0.381000,1.270000,0.510000,0,3,yes,0.000000,0.760000,0.000000,0.000000,15.000000,,0.000000,-0.000000,-0.000000,0.000000,0.000000,,0.000000,0.510000,0.510000,0.000000,3.000000,,1.000000
14,PUD,4.746000,15.820000,7.370000,0,58,yes,0.000000,8.450000,0.000000,0.000000,102.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,7.370000,7.370000,0.000000,58.000000,,1.000000
