planning.unit,number,available,partial,reserved
5879,100,96,0,4
5878,100,97,0,3
5877,100,100,0,0
5876,100,99,0,1
5875,100,100,0,0
5874,100,100,0,0
5873,100,100,0,0
5872,100,99,0,1
5871,100,100,0,0
5870,100,100,0,0
5869,100,100,0,0
5868,100,100,0,0
5867,100,100,0,0
5866,100,100,0,0
5865,100,100,0,0
5864,100,100,0,0
5863,100,100,0,0
5862,100,93,0,7
5861,100,97,0,3
5860,100,90,2,8
5859,100,94,2,4
5858,100,92,0,8
5857,100,96,0,4
5856,100,97,0,3
5855,100,94,1,5
5854,100,95,1,4
5853,100,94,0,6
5852,100,94,0,6
5851,100,95,0,5
5850,100,95,0,5
5849,100,97,0,3
5848,100,99,1,0
5847,100,100,0,0
5846,100,100,0,0
5845,100,100,0,0
5844,100,100,0,0
5843,100,100,0,0
5842,100,100,0,0
5841,100,100,0,0
5840,100,96,0,4
5839,100,100,0,0
5838,100,93,0,7
5837,100,95,0,5
5836,100,88,2,10
5835,100,91,0,9
5834,100,92,1,7
5833,100,95,0,5
5832,100,93,0,7
5831,100,97,0,3
5830,100,90,0,10
5829,100,91,0,9
5828,100,92,0,8
5827,100,92,1,7
5826,100,93,0,7
5825,100,93,1,6
5824,100,93,0,7
5823,100,100,0,0
5822,100,100,0,0
5821,100,100,0,0
5820,100,100,0,0
5819,100,100,0,0
5818,100,100,0,0
5817,100,100,0,0
5816,100,100,0,0
5815,100,96,0,4
5814,100,93,1,6
5813,100,95,0,5
5812,100,94,1,5
5811,100,97,0,3
5810,100,92,0,8
5809,100,92,0,8
5808,100,92,8,0
5807,100,95,5,0
5806,100,90,8,2
5805,100,93,4,3
5804,100,93,5,2
5803,100,95,5,0
5802,100,96,4,0
5801,100,93,0,7
5800,100,85,3,12
5799,100,86,0,14
5798,100,93,0,7
5797,100,94,1,5
5796,100,100,0,0
5795,100,100,0,0
5794,100,100,0,0
5793,100,100,0,0
5792,100,100,0,0
5791,100,100,0,0
5790,100,100,0,0
5789,100,100,0,0
5788,100,97,0,3
5787,100,95,0,5
5786,100,96,0,4
5785,100,95,1,4
5784,100,94,1,5
5783,100,90,1,9
5782,100,91,0,9
5781,100,94,0,6
5780,100,85,1,14
5779,100,75,15,10
5778,100,79,13,8
5777,100,77,18,5
5776,100,73,18,9
5775,100,85,8,7
5774,100,74,22,4
5773,100,92,6,2
5772,100,89,5,6
5771,100,93,3,4
5770,100,91,0,9
5769,100,78,1,21
5768,100,86,3,11
5767,100,90,0,10
5766,100,100,0,0
5765,100,100,0,0
5764,100,100,0,0
5763,100,100,0,0
5762,100,100,0,0
5761,100,100,0,0
5760,100,100,0,0
5759,100,100,0,0
5758,100,99,0,1
5757,100,92,3,5
5756,100,94,0,6
5755,100,94,0,6
5754,100,93,1,6
5753,100,96,0,4
5752,100,96,0,4
5751,100,96,0,4
5750,100,92,0,8
