Run.Number,Score,Cost,Planning.Units,available.PuCount,partial.PuCount,reserved.PuCount,available.Cost,partial.Cost,reserved.Cost,Connection.Strength,Penalty,Shortfall,Missing_Values,MPM
1,74546.007437,2192.49,4237,3440,236,561,0,763,1386,72353.517437,0,151.708,8,0
2,74605.782702,2248.76,4237,3329,243,665,0,470,1737,72357.022702,0,120.65,9,0
3,74615.801089,2250.19,4237,3430,320,487,0,380,1830,72365.611089,0,162.284,9,0.048814
4,74608.682944,2250.56,4237,3457,250,530,0,358,1851,72358.122943,0,163.528,12,0
5,74693.679387,2332.94,4237,3471,304,462,0,409,1875,72360.739387,0,199.618,13,0.018397
6,74323.475378,1979.65,4237,3492,105,640,0,477,1461,72343.825378,0,171.379,10,0.012543
7,74605.901121,2249.4,4237,3339,410,488,0,485,1730,72356.501121,0,138.623,8,0
8,74668.856709,2311.69,4237,3396,455,386,0,586,1687,72357.166709,0,156.228,10,0
9,74539.059878,2182.38,4237,3476,359,402,0,495,1644,72356.679878,0,244.416,12,0.009198
10,74726.24258,2354.08,4237,3446,371,420,0,500,1797,72372.16258,0,199.335,12,0.011498
11,74466.91452,2109.25,4237,3392,279,566,0,387,1682,72357.66452,0,170.46,11,0.080128
12,74140.122406,1806.64,4237,3457,44,736,0,100,1667,72333.482406,0,128.33,8,0
13,74283.672364,1928.88,4237,3454,291,492,0,411,1475,72354.792364,0,182.384,12,0.014111
14,74370.546332,2028.92,4237,3425,124,688,0,562,1425,72341.626332,0,121.774,8,0.016202
15,74551.215605,2204.82,4237,3406,309,522,0,387,1777,72346.395605,0,130.352,9,0.009512
16,74347.503471,2000.01,4237,3486,104,647,0,519,1441,72347.493471,0,147.256,9,0.013588
17,74378.909575,2032.8,4237,3415,282,540,0,501,1491,72346.109575,0,116.858,9,0.056235
18,74763.535137,2398.98,4237,3467,314,456,0,372,1983,72364.555137,0,207.572,13,0.05634
19,74436.217985,2090.09,4237,3372,231,634,0,635,1416,72346.127985,0,157.262,10,0.001568
20,74529.684372,2175.36,4237,3432,250,555,0,428,1703,72354.324372,0,140.502,9,0.008903
21,74550.422737,2192.65,4237,3446,251,540,0,389,1764,72357.772737,0,145.347,10,0.009198
22,74471.90608,2127.32,4237,3513,155,569,0,405,1678,72344.58608,0,197.912,12,0.00993
23,74581.287992,2220.24,4237,3476,257,504,0,413,1770,72361.047992,0,206.56,11,0
24,74654.619063,2293.02,4237,3473,238,526,0,445,1803,72361.599063,0,183.929,12,0.009198
25,74425.156053,2071.36,4237,3446,145,646,0,338,1691,72353.796053,0,137.468,11,0
26,74633.518036,2274.39,4237,3381,249,607,0,445,1790,72359.128035,0,128.239,9,0
27,74573.918402,2212.48,4237,3477,204,556,0,663,1503,72361.438401,0,197.019,11,0
28,74398.096189,2052.54,4237,3467,97,673,0,573,1439,72345.556189,0,146.856,9,0.024041
29,74678.01955,2317.49,4237,3404,351,482,0,264,2012,72360.52955,0,146.194,10,0.00993
30,74484.915354,2132.75,4237,3419,181,637,0,464,1623,72352.165354,0,153.542,11,0.00993
31,74686.336391,2329.85,4237,3470,315,452,0,380,1904,72356.486391,0,196.606,12,0.008903
32,74318.894482,1974.38,4237,3418,144,675,0,364,1571,72344.514482,0,138.432,9,0.007944
33,74485.278077,2130.43,4237,3411,159,667,0,463,1624,72354.848077,0,190.161,11,0.00993
34,74465.109396,2110.62,4237,3506,194,537,0,397,1672,72354.489396,0,231.809,13,0.020383
35,74681.167589,2321.02,4237,3406,429,402,0,667,1610,72360.147589,0,164.231,11,0.03742
36,74695.5392,2334.48,4237,3378,234,625,0,801,1498,72361.0592,0,155.102,11,0.062678
37,74543.069384,2175.87,4237,3451,276,510,0,337,1790,72367.199384,0,168.042,10,0.01986
38,74696.112816,2331.06,4237,3366,251,620,0,383,1901,72365.052816,0,166.354,10,0.032089
39,74734.167363,2376.03,4237,3478,220,539,0,706,1629,72358.137363,0,198.522,12,0.025609
40,74524.672921,2172.87,4237,3449,179,609,0,775,1357,72351.802921,0,146.251,11,0.00993
41,74493.737305,2138.03,4237,3467,172,598,0,328,1769,72355.707305,0,174.757,14,0
42,74315.133856,1964.63,4237,3472,149,616,0,298,1628,72350.503856,0,156.8,9,0.019337
